Sample,Population,Symbiodinium,Breviolum,Cladocopium,Durusdinium
BA_01,Banco de San Antonio,0.00075643,0.009833585,0.988653555,0.00075643
BA_02,Banco de San Antonio,0,0.006116208,0.991699432,0.00218436
GS_04,Guanahacabibes,0.00270636,0.00541272,0.98782138,0.00405954
GS_06,Guanahacabibes,0,0.003597122,0.992805755,0.003597122
GS_09,Guanahacabibes,0,0,1,0
GS_10,Guanahacabibes,0,0.007473842,0.992027902,0.000498256
GS_11,Guanahacabibes,0,0.012834821,0.986049107,0.001116071
GS_12,Guanahacabibes,0,0,0.99689441,0.00310559
GS_13,Guanahacabibes,0,0.009422368,0.988938959,0.001638673
GS_14,Guanahacabibes,0.000350079,0.007001575,0.990897952,0.001750394
GS_15,Guanahacabibes,0,0.010327022,0.989672978,0
GS_16,Guanahacabibes,0,0,0.941176471,0.058823529
GS_17,Guanahacabibes,0.002020202,0.004040404,0.981818182,0.012121212
GS_18,Guanahacabibes,0.002392344,0.005582137,0.986443381,0.005582137
IJ_19,Isla de la Juventud,0.002352941,0.011764706,0.872941176,0.112941176
IJ_20,Isla de la Juventud,0.000405077,0,0.007696462,0.991898461
IJ_21,Isla de la Juventud,0,0.007083065,0.982936252,0.009980683
CJ_86,Cayo Jutias,0,0.052631579,0.947368421,0
CJ_88,Cayo Jutias,0,0,1,0
CJ_89,Cayo Jutias,0,0.03030303,0.96969697,0
CJ_90,Cayo Jutias,0.011627907,0,0.976744186,0.011627907
CJ_91,Cayo Jutias,0,0,1,0
CJ_93,Cayo Jutias,0,0,1,0
CJ_94,Cayo Jutias,0,0,1,0
CJ_96,Cayo Jutias,0,0.010890704,0.988331389,0.000777907
CA_22,Cayo Anclitas,0.000482393,0.004823927,0.993246503,0.001447178
CA_23,Cayo Anclitas,0.001455604,0.004366812,0.988355167,0.005822416
CA_24,Cayo Anclitas,0,0.008952551,0.987466428,0.003581021
CA_25,Cayo Anclitas,0,0.009779951,0.985330073,0.004889976
CA_26,Cayo Anclitas,0.001011122,0.00859454,0.989888777,0.000505561
CA_27,Cayo Anclitas,0,0.006540698,0.992005814,0.001453488
CA_28,Cayo Anclitas,0,0.007639419,0.990832697,0.001527884
CA_30,Cayo Anclitas,0,0.010039041,0.988287786,0.001673173
CA_31,Cayo Anclitas,0,0.009868421,0.988815789,0.001315789
CA_32,Cayo Anclitas,0,0.00445236,0.99554764,0
CA_33,Cayo Anclitas,0,0.004347826,0.993478261,0.002173913
CA_34,Cayo Anclitas,0.000327332,0.005564648,0.991816694,0.002291326
CA_35,Cayo Anclitas,0,0,1,0
CA_36,Cayo Anclitas,0.001525941,0.003051882,0.994404883,0.001017294
CS_69,Cayo Sabinal,0,0.006661116,0.990840966,0.002497918
CS_70,Cayo Sabinal,0.001312336,0.00656168,0.990813648,0.001312336
CS_71,Cayo Sabinal,0,0.006198347,0.990702479,0.003099174
CS_73,Cayo Sabinal,0,0,1,0
CS_74,Cayo Sabinal,0,0,1,0
CS_75,Cayo Sabinal,0,0.015267176,0.983642312,0.001090513
CS_76,Cayo Sabinal,0.001098901,0.006593407,0.989010989,0.003296703
CS_77,Cayo Sabinal,0,0.013422819,0.986577181,0
CS_78,Cayo Sabinal,0.014492754,0,0.985507246,0
CS_81,Cayo Sabinal,0,0.009228188,0.988255034,0.002516779
CS_82,Cayo Sabinal,0.000590667,0.006497342,0.980311085,0.012600906
CS_83,Cayo Sabinal,0,0,1,0
CO_37,Chivirico,0,0,1,0
CO_38,Chivirico,0,0.007713499,0.990633609,0.001652893
CO_41,Chivirico,0,0,1,0
CO_44,Chivirico,0,0.002816901,0.996056338,0.001126761
CO_45,Chivirico,0,0.00456621,0.992009132,0.003424658
CO_46,Chivirico,0,0.005071851,0.993237532,0.001690617
CO_47,Chivirico,0,0.005037783,0.992443325,0.002518892
CO_48,Chivirico,0.001385042,0.009695291,0.987534626,0.001385042
CO_49,Chivirico,0.000547645,0.007667032,0.989594743,0.002190581
CO_50,Chivirico,0,0.007290401,0.989064399,0.0036452
CO_51,Chivirico,0,0,0.994974874,0.005025126
CL_52,Cabo Lucrecia,0,0,1,0
CL_53,Cabo Lucrecia,0,0,0.9375,0.0625
CL_54,Cabo Lucrecia,0,0,1,0
CL_55,Cabo Lucrecia,0,0.007446809,0.989361702,0.003191489
CL_56,Cabo Lucrecia,0,0,1,0
CL_57,Cabo Lucrecia,0,0,1,0
CL_58,Cabo Lucrecia,0,0.010687023,0.98778626,0.001526718
CL_59,Cabo Lucrecia,0,0.007936508,0.99156746,0.000496032
CL_60,Cabo Lucrecia,0,0.016949153,0.978813559,0.004237288
CL_61,Cabo Lucrecia,0,0,1,0
CL_62,Cabo Lucrecia,0.1,0,0.9,0
CL_63,Cabo Lucrecia,0,0.027272727,0.963636364,0.009090909
CL_65,Cabo Lucrecia,0,0.009345794,0.990654206,0
CL_66,Cabo Lucrecia,0,0,1,0
CL_67,Cabo Lucrecia,0,0.005555556,0.994444444,0
CL_68,Cabo Lucrecia,0,0,1,0