Sample,Population,Cluster1,Cluster2
1,Banco de San Antonio,0.999999999,0.000000001
2,Banco de San Antonio,0.999999999,0.000000001
9,Guanahacabibes,0.999999999,0.000000001
10,Guanahacabibes,0.999999999,0.000000001
15,Guanahacabibes,0.999999999,0.000000001
18-1,Guanahacabibes,0.999999999,0.000000001
4,Guanahacabibes,0.038555997,0.961444003
16,Guanahacabibes,0.028241767,0.971758233
14,Guanahacabibes,0.015415113,0.984584887
17,Guanahacabibes,0.007362742,0.992637258
11,Guanahacabibes,1.63068E-07,0.999999837
6,Guanahacabibes,2.34919E-08,0.999999977
12,Guanahacabibes,0.000000001,0.999999999
13,Guanahacabibes,0.000000001,0.999999999
19,Isla de la Juventud,0.999999999,0.000000001
21,Isla de la Juventud,0.007752867,0.992247133
20,Isla de la Juventud,0.000000001,0.999999999
86,Cayo Jutias,0.999999999,0.000000001
88,Cayo Jutias,0.999999999,0.000000001
90,Cayo Jutias,0.999999999,0.000000001
91,Cayo Jutias,0.999999999,0.000000001
96,Cayo Jutias,0.058314643,0.941685357
89,Cayo Jutias,0.003351452,0.996648548
94,Cayo Jutias,8.23562E-05,0.999917644
93,Cayo Jutias,0.000000001,0.999999999
24,Cayo Anclitas,0.04485325,0.95514675
35,Cayo Anclitas,0.023993078,0.976006922
34,Cayo Anclitas,0.022149323,0.977850677
36,Cayo Anclitas,0.020449052,0.979550948
23,Cayo Anclitas,0.010443459,0.989556541
32,Cayo Anclitas,0.0044652,0.9955348
28,Cayo Anclitas,0.000488602,0.999511398
33,Cayo Anclitas,0.000154662,0.999845338
31,Cayo Anclitas,7.129E-07,0.999999287
25,Cayo Anclitas,5.68884E-07,0.999999431
22,Cayo Anclitas,3.26002E-07,0.999999674
26,Cayo Anclitas,0.000000001,0.999999999
27,Cayo Anclitas,0.000000001,0.999999999
30,Cayo Anclitas,0.000000001,0.999999999
75,Cayo Sabinal,0.999999999,0.000000001
76,Cayo Sabinal,0.912630861,0.087369139
77,Cayo Sabinal,0.03238151,0.96761849
81,Cayo Sabinal,0.017452568,0.982547432
83,Cayo Sabinal,0.015796235,0.984203765
73,Cayo Sabinal,0.003301344,0.996698656
71,Cayo Sabinal,0.003091718,0.996908282
82,Cayo Sabinal,0.000819746,0.999180254
70,Cayo Sabinal,0.000256646,0.999743354
78,Cayo Sabinal,0.000244011,0.999755989
69,Cayo Sabinal,0.000000001,0.999999999
74,Cayo Sabinal,0.000000001,0.999999999
38,Chivirico,0.999999999,0.000000001
45,Chivirico,0.051849334,0.948150666
50,Chivirico,0.042829576,0.957170424
43,Chivirico,0.031058809,0.968941191
44,Chivirico,0.029406789,0.970593211
46,Chivirico,0.024448066,0.975551934
49,Chivirico,0.022782619,0.977217381
51,Chivirico,0.02180644,0.97819356
37,Chivirico,0.001271411,0.998728589
47,Chivirico,0.001019237,0.998980763
48,Chivirico,2.96842E-07,0.999999703
53,Cabo Lucrecia,0.999999999,0.000000001
61-1,Cabo Lucrecia,0.090489315,0.909510685
68,Cabo Lucrecia,0.04540879,0.95459121
62,Cabo Lucrecia,0.038887664,0.961112336
57,Cabo Lucrecia,0.031832211,0.968167789
65,Cabo Lucrecia,0.031091411,0.968908589
63,Cabo Lucrecia,0.024172532,0.975827468
52,Cabo Lucrecia,0.01893872,0.98106128
56,Cabo Lucrecia,0.0080541,0.9919459
58,Cabo Lucrecia,0.005131492,0.994868508
54,Cabo Lucrecia,0.003155942,0.996844058
60,Cabo Lucrecia,5.79937E-05,0.999942006
59,Cabo Lucrecia,1.06061E-06,0.999998939
66,Cabo Lucrecia,1.00404E-06,0.999998996
55,Cabo Lucrecia,8.38027E-08,0.999999916
67,Cabo Lucrecia,0.000000001,0.999999999