K,Reps,Mean LnP(K),Stdev LnP(K),Ln'(K),|Ln''(K)|,Delta K
1,10,-2474.84,0.31693,,,
2,10,-2598.98,36.967187,-124.14,93.52,2.529811
3,10,-2629.6,61.423792,-30.62,15.75,0.256415
4,10,-2644.47,55.90657,-14.87,30.63,0.547878
5,10,-2628.71,55.802697,15.76,45.47,0.814835
6,10,-2567.48,37.632073,61.23,53.03,1.40917
7,10,-2559.28,49.472479,8.2,14.47,0.292486
8,10,-2536.61,30.305462,22.67,11.94,0.393988
9,10,-2525.88,24.004527,10.73,2.09,0.087067
10,10,-2513.06,15.54343,12.82,6.81,0.438127
11,10,-2507.05,17.025096,6.01,,